molecule_name,final_score,epoch
rxn:1:60111:11984,0.1908810536066691,22060
rxn:2:136872:142183,0.190235161781311,22060
rxn:2:138457:96010,0.1728877169745309,22060
rxn:2:91717:173095,0.1722992140313853,22060
rxn:2:119168:69876,0.1678627586364746,22060
rxn:2:80519:108959,0.1672402568485425,22060
rxn:2:97543:91563,0.1656241146000948,22060
rxn:2:141397:169155,0.1633032668720592,22060
rxn:2:94771:169197,0.1632980812679637,22060
rxn:2:132373:120822,0.1622961526331694,22060
rxn:2:127778:102373,0.1616035266356034,22060
rxn:2:69457:172618,0.1614808092514673,22060
rxn:2:141544:108959,0.1590173190290277,22060
rxn:2:81174:142183,0.1565793752670288,22060
rxn:2:68410:120822,0.1564917719882467,22060
rxn:2:134689:96010,0.1555338849623998,22060
rxn:2:104210:142183,0.155266672372818,22060
rxn:2:131506:170892,0.1546339470407237,22060
rxn:2:141397:88957,0.1542385667562484,22060
rxn:2:114506:141195,0.1541223498907956,22060
rxn:2:139105:108959,0.1536849348441414,22060
rxn:2:85122:120822,0.152852253480391,22060
rxn:2:106758:70831,0.1520810471131251,22060
rxn:2:141397:170026,0.1519338136369531,22060
rxn:2:171029:142183,0.1518433852629228,22060
rxn:1:60111:23613,0.1514181179158827,22060
rxn:2:110352:134317,0.1509950932334451,22060
rxn:2:117731:173095,0.1508723419645558,22060
rxn:2:150747:125117,0.1508328105722154,22060
rxn:2:109067:142183,0.1493045886357625,22060
rxn:2:97543:120822,0.149276392026381,22060
rxn:2:132373:170892,0.1488015800714492,22060
rxn:2:114506:94292,0.148374250956944,22060
rxn:1:60111:38555,0.1459391236305237,22060
rxn:2:76009:96010,0.1445944786071777,22060
rxn:2:97900:96010,0.143117449500344,22060
rxn:2:141497:82123,0.1427940016701108,22060
rxn:2:141397:158208,0.1427330908022429,22060
rxn:2:131871:142183,0.1420062397207532,22060
rxn:2:92382:173095,0.139633195740836,22060
rxn:1:60111:5590,0.134992406648748,22060
rxn:1:65013:31609,0.1343087787213532,22060
rxn:2:135125:96010,0.1084766960144043,22060
rxn:2:68525:112875,0.0925553907518801,22060
rxn:2:122923:96010,0.0915486922970524,22060
rxn:2:93211:67686,0.1666002094745636,22061
rxn:2:74393:169340,0.1633911495623381,22061
rxn:2:117485:169412,0.1627320713467068,22061
rxn:2:93644:173095,0.1613856894629342,22061
rxn:2:156072:120822,0.1604470078434263,22061
rxn:2:146036:170892,0.1604089339574178,22061
rxn:2:112728:172618,0.1596841578898222,22061
rxn:2:143107:170892,0.159519338607788,22061
rxn:2:137136:107408,0.1586128234863281,22061
rxn:2:141397:88106,0.1582826588835035,22061
rxn:2:110352:111125,0.1578824959303203,22061
rxn:2:141397:118208,0.1569756335682339,22061
rxn:2:150732:170892,0.1558064222335815,22061
rxn:2:114506:146828,0.1557963219555941,22061
rxn:2:89902:130974,0.1544847869873047,22061
rxn:2:141397:87593,0.1541700739609567,22061
rxn:2:78535:96010,0.1537106518562023,22061
